#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
"<div>55M + high WBCs + Coombs test positive + smear is shown; Dx?</div><div><img src=""paste-338469057531e6deda82f800b8ed72c71d64de9e.jpg""><br></div>"	"<div>
<div>&nbsp; Answer = CLL; smear shows
smudge cells; CLL sometimes associated with autoimmune hemolytic anemia (usually
warm), hence a (+) Coombs
test may be seen.</div><div><br></div>
<div>&nbsp;“Warm? What?”
→ Relax.&nbsp;</div><div><ul><li>Warm vs cold autoimmune hemolytic
anemia (AIHA) means you’ve got either IgG (warm) or Ig<b>M </b>(cold; <b>Mmm </b>ice cream) against RBCs.</li></ul></div>
<div>o&nbsp;&nbsp;
Cold AIHA (aka cold
agglutinin disease) is seen sometimes with mycoplasma or CMV infection, where the patient
can have IgM antibodies against
RBCs and a hemolytic anemia
(e.g., CMV infection + low Hb).</div>
</div>
<br>

<div>o&nbsp;&nbsp;
Positive Coombs test = the patient
has IgM or IgG antibodies against RBCs → <b>whatever RBC issue the patient
has, it’s due to antibodies.</b></div>"	
"<div>&nbsp;can you explain
Coombs test real quick?</div>"	&nbsp;direct vs indirect types; direct Coombs is taking the patient’s RBCs and seeing if they agglutinate&nbsp;<i>in vitro&nbsp;</i>using various laboratory antibodies; if the RBCs agglutinate, this means there were antibodies attached to their surface, and the patient did in fact have antibody-mediated hemolytic anemia; indirect Coombs is taking the patient’s plasma and seeing if it induces laboratory RBCs to agglutinate; if agglutination occurs, then the patient had antibodies in his/her plasma and we know that he/she did in fact have antibody-mediated hemolysis.	
"61F + high WBCs + CD5 and CD23 positivity + positive Coombs
test; Dx?&nbsp;"	"<div>CLL; leukemic cells in CLL can be CD5 and/or
CD23 positive (on retired Step 1 NBME).</div>"	
"<div>44F + WBCs 14,500 + metamyelocytes and myelocytes seen on FBC + smear is shown;
Dx?</div><div><img src=""paste-7840859bf34b113853ecdec908211ce086250176.jpg""><br></div>"	"CML; smear shows “motley
mix” of many different types of cells (HY image)."	
"<div>44F + WBCs 14,500 +
metamyelocytes and myelocytes seen on FBC + urinalysis shows nitrites and leukocyte esterase + smear
is shown; Dx?</div><div><img src=""paste-c56c81c8d03625f081b6f7facc0f89b16c2de89a.jpg""><br></div>"	"<div>leukemoid reaction; smear shows neutrophilia
consistent with infection (UTI in this case).</div>"	
"<div>44F + WBCs 14,500 +
metamyelocytes and myelocytes seen on FBC + decreased leukocyte ALP; Dx?&nbsp;</div>"	"→&nbsp;answer = chronic&nbsp;<span style=""color: rgb(0, 255, 0);""><b>myelo</b></span>genous leukemia (CML); meta<span style=""color: rgb(0, 255, 0);""><b>myelo</b></span>cytes and&nbsp;<span style=""color: rgb(0, 255, 0);""><b>myelo</b></span>cytes are extremely HY&nbsp;for&nbsp;CML;&nbsp;leukocyte&nbsp;ALP&nbsp;is&nbsp;also&nbsp;decreased."	
"<div>44F + WBCs 14,500 +
metamyelocytes and myelocytes seen on FBC + increased leukocyte ALP; Dx?</div>"	&nbsp;→&nbsp;answer = leukemoid reaction (inflammatory process; usually infection); the other HY condition that,&nbsp;like&nbsp;CML,&nbsp;can&nbsp;present&nbsp;with&nbsp;metamyelocytes&nbsp;and&nbsp;myelocytes,&nbsp;however&nbsp;leukocyte&nbsp;ALP&nbsp;is&nbsp;increased.	
<div>44F + WBC 180,000 (50% neutrophils) + t(9;22); Dx?&nbsp;</div>	<div>→&nbsp;answer&nbsp;=&nbsp;CML&nbsp;→&nbsp;Philadelphia&nbsp;chromosome&nbsp;→</div><div>&nbsp;</div><div>t(9;22)&nbsp;bcr/abl&nbsp;→&nbsp;oncogenic&nbsp;tyrosine&nbsp;kinase.</div>	
Tx of CML?&nbsp;	<div>&nbsp;imatinib.</div>	
"Important side-effect
of imatinib?&nbsp;"	"<div>fluid retention (edema);
tangentially, apart from imatinib, know that dihydropyridine calcium channel blockers
(nifedipine, amlodipine, etc.) also cause
fluid retention/edema.</div>"	
"<div>&nbsp;54M + lytic bone lesions
+ electron microscopy is shown with cells that are CD1a positive; Dx?</div>
<div>
<table>
<tbody><tr>
<td></td>
</tr>
<tr>
<td></td>
<td><img src=""clip_image002-840b1095ee1237847c0aef20426155b21443f2f9.jpg""></td>
</tr>
</tbody></table>
<br>
</div>"	"Langerhan cell
histiocytosis; characteristic tennis racquet-shaped cells are called Burbeck
granules."	
"<div>17M + fever + tonsillar
exudates + cervical lymphadenopathy + confluent ulcerations seen in posterior oropharynx; this pathogen can also cause
what? →</div>"	hemolytic anemia; patient has&nbsp;mononucleosis; 90% of the time, it’s caused by EBV; but 10% is CMV; linear (confluent) ulcers = CMV;&nbsp;CMV&nbsp;is&nbsp;a&nbsp;known&nbsp;cause&nbsp;of&nbsp;cold&nbsp;AIHA.	
"<div>9M + African-American +
abdominal mass growing left of umbilicus + fever + night sweats + weight loss + cytogenetic analysis reveals t(8;14);
Dx? →</div>"	&nbsp;Burkitt&nbsp;lymphoma;&nbsp;students&nbsp;says,&nbsp;“Wait,&nbsp;I&nbsp;thought&nbsp;it&nbsp;was&nbsp;supposed&nbsp;to&nbsp;be&nbsp;a&nbsp;jaw&nbsp;lesion.”&nbsp;→&nbsp;can&nbsp;be&nbsp;intra-abdominal&nbsp;or&nbsp;jaw.	
"<div>
<div>9M + African-American + unilateral jaw swelling + t(2;8) + biopsy of lesion is shown; Dx?</div>
</div>
<br>

<div>&nbsp;</div>
<div><img src=""clip_image002-73629322077d63bb90a18a4bc9f333dd24416a71.jpg""></div>
<div>&nbsp;</div>"	"<div>o&nbsp;&nbsp;
Answer = Burkitt; image is
classic “starry sky” appearance; blue cells are lymphocytes; clear cells
are macrophages.</div><div><br></div>
<div>o&nbsp;&nbsp;
NBME Q for Step 1 points to
a macrophage on the starry sky histo and asks what cellular process
is occurring; answer = apoptosis
→ macrophages are called tingible
(not tangible) body macrophages → contain lots of phagocytosed cells at various
stages of apoptosis.</div><div><br></div>
<div>o&nbsp;&nbsp;
USMLE Step 1 assesses
t(2;8), t(8;14), and (8;22) for Burkitt; resources tend to only focus on t(8;14); easy way to remember: you can see that chromosome 8 is involved
in all of them.</div>"	
"<div>55M + fever + night sweats
+ weight loss + fluid wave in abdomen + abdominal paracentesis yields 300mL of milky fluid;
Dx?&nbsp;</div>"	→&nbsp;chylothorax&nbsp;secondary&nbsp;to&nbsp;intra-abdominal&nbsp;Burkitt&nbsp;lymphoma.	
<div>Gene involved in Burkitt + what is it? →</div>	&nbsp;c-myc&nbsp;→&nbsp;transcription&nbsp;factor.	
"26M + waxing and waning neck mass over one-year period
+ t(14;18); Dx? →"	&nbsp;answer&nbsp;=&nbsp;follicular&nbsp;lymphoma;&nbsp;may&nbsp;present&nbsp;with&nbsp;waxing/waning&nbsp;disease	
"<div>Gene involved in follicular lymphoma
+ what is it? →&nbsp;</div>"	=&nbsp;bcl-2&nbsp;→&nbsp;anti-apoptotic&nbsp;molecule.	
"<div>41F + lymphoma
+ t(11;14); Dx?</div>"	&nbsp;mantle&nbsp;cell&nbsp;lymphoma.	
"<div>9F + WBC 3,500 + smear shows
WBCs with cytoplasmic projections that stain positive for acid- resistant acid phosphatase; Dx? →</div>"	&nbsp;hairy&nbsp;cell&nbsp;leukemia;&nbsp;can&nbsp;have&nbsp;low&nbsp;WBC&nbsp;count.	
"<div>72M + acute-onset highly aggressive B cell lymphoma;
Dx? →</div>"	&nbsp;diffuse-large&nbsp;B&nbsp;cell&nbsp;lymphoma&nbsp;(DLBCL);&nbsp;most&nbsp;common&nbsp;non-Hodgkin&nbsp;lymphoma&nbsp;(NHL)&nbsp;in&nbsp;adults;&nbsp;highly&nbsp;aggressive.	
"“What does
non-Hodgkin vs Hodgkin mean?”&nbsp;"	"<div>
<div>&nbsp;Hodgkin is
a type of lymphoma that has pathognomonic
Reed-Sternberg cells on lymph node biopsy (owl-eye appearance); RS cells are
CD15 and CD30 positive; some
resources say NHL has B-symptoms (fever, night sweats, weight loss) whereas
in Hodgkin they are more rare, but on the USMLE, B-symptoms can occur in either; EBV can</div>
</div>
<br>

<div>also
cause either; Hodgkin may present with contiguous spread, where affected areas
are in close proximity, whereas
NHL can spread more haphazardly. NHL just refers to any lymphoma that doesn’t have Reed-Sternberg cells.</div><div><br></div>
<div><img src=""clip_image002-675e49b8e8dffff5490ca0bd599b7ef639c34e6b.jpg""></div>
<div>Reed-Sternberg cells</div>"	
"“Do I need to know the different types of Hodgkin
lymphoma"	"<div>highest yield
points:</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Nodular sclerosing variant
is more common in women.</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
More Reed-Sternberg cells = poorer prognosis.</div><div><br></div>
<div>&nbsp;</div>
<div><ul><li>&nbsp;Leukocyte-rich Hodgkin = high lymphocytes + low RS cells (better
prognosis).</li></ul><ul><li>&nbsp; Leukocyte-deplete Hodgkin = low lymphocytes + high RS cells (poor prognosis).</li></ul></div>


<div>&nbsp;</div>"	
"44M + Hx of Hodgkin
disease + nephrotic syndrome; what’s the renal Dx?&nbsp;"	"<div>minimal change disease (MCD); student
says, “Wtf? But I thought
that’s pediatrics.” → 9 times out of 10, yes, it follows
viral infection in a kid, but it is also associated with Hodgkin lymphoma
in adults.</div>"	
"16F + painless lateral
neck mass + a mediastinal mass; Dx?&nbsp;"	<div>Hodgkin disease</div>	
"16F + painless lateral
neck mass + hepatomegaly; Dx?&nbsp;"	"<div>Hodgkin disease → classic vignette
presents as painless lateral neck mass (doesn’t wax and wane like
follicular NHL) + either a mediastinal
mass or hepatomegaly; the mediastinal mass is not a thymoma; it’s mediastinal lymphadenopathy.</div>"	
"49M + jaundice + high
ALP + pancreatic enzymes normal + weight loss + painful erythematous areas on arms and legs; Dx?&nbsp;"	"<div>pancreatic
head adenocarcinoma causing migratory thrombophlebitis (Trousseau sign of malignancy).</div>"	
"50M + hepatitis C + purpura
on arms and legs + joint pain + low complement C4; Dx?&nbsp;"	<div>cryoglobulinemia.</div>	
“Wtf is a cryoglobulin?”&nbsp;	"<div>cryoglobulins are immunoglobulins that precipitate at “cold” temperatures (i.e., &lt;37C); cryoglobulinemia can be caused by malignancy
as well as chronic infections (HepC, HIV). C4
can be decreased due to activation of the complement cascade, notably C4. Do
not confuse cryoglobulinemia with cold agglutinin disease, which is aka cold autoimmune hemolytic
anemia.</div>"	
"<div>22M + vegetarian/vegan + ↑ MCV + smear is shown; Dx?</div><div><img src=""paste-dac9a78408975a868e00b013ca5d9a3917c05170.jpg""><br></div>"	"<div>&nbsp;dietary
B12 deficiency; smear shows hypersegmented neutrophil.</div>"	
“What is a hypersegmented neutrophil?” 	→&nbsp;seen&nbsp;in&nbsp;folate&nbsp;(B9)&nbsp;or&nbsp;B12&nbsp;deficiency;&nbsp;↓&nbsp;DNA&nbsp;synthesis&nbsp;results in neutrophils with &gt;3 segments to the nuclei. Essentially if you see these on a smear, right&nbsp;away&nbsp;you&nbsp;should&nbsp;be&nbsp;thinking&nbsp;B9&nbsp;or&nbsp;B12&nbsp;deficiency;&nbsp;patient&nbsp;will&nbsp;also&nbsp;have&nbsp;↑&nbsp;MCV	
<div>22M + vitiligo + vegetarian + ↑ MCV + hypersegmented neutrophils; Dx?&nbsp;</div>	&nbsp;pernicious&nbsp;anemia causing B12 deficiency (one autoimmune disease&nbsp;→&nbsp;↑&nbsp;risk of others [polyglandular&nbsp;syndromes]).	
<div>22M + vitiligo + vegetarian + ↑ MCV + hypersegmented neutrophils; next best step?</div>	&nbsp;check&nbsp;serum&nbsp;antibodies&nbsp;against&nbsp;parietal&nbsp;cells&nbsp;and&nbsp;intrinsic&nbsp;factor.	
"<div>27F + strict vegetarian diet for 5 years + ↓ Hb
+ ↓ Hct + ↓ WBCs + ↓ platelets + no other info given; Q asks, her nutrient deficiency
significantly impairs which of the following cellular processes</div>"	DNA&nbsp;synthesis&nbsp;(B12&nbsp;deficiency);&nbsp;wrong&nbsp;answer&nbsp;is&nbsp;heme&nbsp;production&nbsp;(instead&nbsp;B6&nbsp;deficiency).	
<div>22M + Hx of epilepsy + ↑ MCV + hypersegmented neutrophils; Dx?&nbsp;</div>	→&nbsp;B9&nbsp;deficiency&nbsp;→&nbsp;anti-epileptic&nbsp;meds&nbsp;(i.e.,&nbsp;valproic&nbsp;acid,&nbsp;phenytoin,&nbsp;carbamazepine)&nbsp;cause&nbsp;↓&nbsp;intestinal&nbsp;folate&nbsp;absorption.	
"<div>44M + alcoholic + ↑ MCV + no hypersegmented neutrophils + serum
methylmalonic acid and homocysteine levels
normal + smear is shown; Dx?</div><div><img src=""paste-c03e27da353a8298c2c35d83760a829700385bf7.jpg""><br></div>"	"<div>o&nbsp;&nbsp;
Answer = alcohol-induced
sideroblastic anemia → alcohol can cause ↑ MCV. But
since there’s no impairment of DNA
synthesis, there are no hypersegmented neutrophils; alcohol can merely disrupt
the heme synthesis pathway, where MCV can sometimes ↑.</div><div><br></div>
<div>o&nbsp;&nbsp;
Methylmalonic acid (or methylmalonyl-CoA) is ↑ in B12 deficiency; homocysteine is ↑ in both B9 and B12 deficiencies.</div>"	
"“What is
sideroblastic anemia?”&nbsp;"	→&nbsp;condition characterized by normal iron levels but merely the&nbsp;inability&nbsp;to&nbsp;incorporate&nbsp;the&nbsp;iron&nbsp;into&nbsp;heme&nbsp;→&nbsp;results&nbsp;in&nbsp;RBC&nbsp;precursors&nbsp;(nucleated&nbsp;erythroblasts)&nbsp;containing peri-nuclear iron-laden macrophages that stain blue with Prussian blue stain (“ringed&nbsp;sideroblasts”).&nbsp;The&nbsp;visible&nbsp;iron&nbsp;aggregates&nbsp;are&nbsp;known&nbsp;as&nbsp;Pappenheimer&nbsp;bodies	
<div>Do I need to know the heme synthesis pathway?” → Annoying, but yes. The heme pathway disorders are all over the NBMEs for Step 1.</div>	"<br><img src=""paste-eefdde5e28411441d4cc5e5cfe0f75610f9aeb95.jpg""><br>"	
"Cause of
sideroblastic anemia?&nbsp;"	"<div>Usually
X-linked recessive condition due to deficiency of d- aminolevulinic acid synthase (d-ALA), but can also be acquired, most commonly due to alcohol.</div>"	
Classic hematologic parameters in sideroblastic anemia?&nbsp;	"<div>&nbsp;↑ serum iron + ↑ ferritin + ↑ transferrin saturation + ↓ Hb; MCV can be normal/↓ in XR form or ↑ MCV in acquired forms.</div>
<div><ul><li>&nbsp; &nbsp;Bottom line: remember ↑ iron across the board
+ MCV can be variable.</li></ul></div>"	
"43M + daily alcohol
use + ↑ serum iron + ↑ ferritin +
↑ transferrin saturation + ↓ Hb + ↑ MCV; Dx?&nbsp;"	"alcohol-induced
sideroblastic anemia → alcohol
can cause ↑ MCV (non-megaloblastic, unlike B9/B12 deficiencies, which cause megaloblastic)."	
"23F + abdominal pain
+ pink urine + ↑ urinary porphobilinogen + ↑ d-ALA; Dx?&nbsp;"	"acute intermittent porphyria → heme synthesis disorder caused by deficiency of
porphobilinogen deaminase → classically associated with “Port wine-colored urine” (but vignettes
can just say pink or red),
abdominal pain, and ↑ urinary
porphobilinogen; some patients can also have neurologic findings."	
"<div>19F + weakness of legs +
decreased reflexes + severe abdominal pain + persistent vomiting + Port- wine-colored urine; Q asks, urine studies
are most likely
to show ↑ what?&nbsp;</div>"	porphobilogen;&nbsp;Dx&nbsp;is&nbsp;acute&nbsp;intermittent&nbsp;porphyria.	
"Inheritance pattern
of acute intermittent porphyria?&nbsp;"	"<div><b>autosomal dominant
</b>(on Step 1 NBME).</div>"	
"<div>44F + abdominal pain + no
mention of urinary findings + paresthesias + alcohol seems to precipitate episodes;
Dx?&nbsp;</div>
<div><br></div>"	acute intermittent porphyria; can be exacerbated by alcohol; one 2CK-level neuro Q doesn’t mention anything about pink/red urine but mentions neurologic findings.	
<div>Tx for acute intermittent porphyria?&nbsp;</div>	glucose&nbsp;infusion&nbsp;(acutely&nbsp;↓&nbsp;heme&nbsp;synthesis);&nbsp;can&nbsp;also&nbsp;give&nbsp;hematin&nbsp;+&nbsp;heme&nbsp;arginate).	
"<div>34F + recurrent episodes of
blistering of face and arms over many years + ↑ serum ALT
and AST + ↑ total serum porphyrin + ↑ urine uroporphyrin III; Dx? →</div>"	porphyria&nbsp;cutanea&nbsp;tarda&nbsp;→&nbsp;heme&nbsp;synthesis disorder caused by deficiency of uroporphyrinogen III decarboxylase&nbsp;→&nbsp;↑&nbsp;urinary&nbsp;uroporphyrin;&nbsp;causes&nbsp;“tea-colored&nbsp;urine”&nbsp;and&nbsp;photosensitivity&nbsp;(i.e.,&nbsp;blistering).	
<div>Tx for porphyria cutanea tarda?</div>	↓&nbsp;alcohol&nbsp;use&nbsp;(can&nbsp;precipitate&nbsp;Sx)&nbsp;+&nbsp;↓&nbsp;sun&nbsp;exposure.	
"<div>40M + episodes of blistering
from sun + ↑ urine uroporphyrin III; Q asks which compound serves
as the precursor to uroporphyrin in this patient&nbsp;</div>"	succinyl-CoA&nbsp;→&nbsp;required&nbsp;for&nbsp;the&nbsp;initiation&nbsp;of&nbsp;heme&nbsp;synthesis&nbsp;(glycine&nbsp;not&nbsp;listed&nbsp;but&nbsp;by&nbsp;all&nbsp;means&nbsp;also&nbsp;correct).	
"<div>29M from Albania + positive
PPD test + negative CXR + started on monotherapy for condition + develops paresthesias months later; which
other finding might be seen in this patient? →&nbsp;</div>"	impairment of heme synthesis&nbsp;→&nbsp;patient being treated with isoniazid (INH) for latent TB&nbsp;→&nbsp;INH&nbsp;causes&nbsp;vitamin&nbsp;B6&nbsp;deficiency&nbsp;if&nbsp;not&nbsp;supplemented&nbsp;→&nbsp;presents&nbsp;as&nbsp;neuropathy&nbsp;and/or&nbsp;seizures.&nbsp;Vitamin&nbsp;B6&nbsp;is&nbsp;needed&nbsp;for&nbsp;the&nbsp;first&nbsp;step&nbsp;of&nbsp;heme&nbsp;synthesis.	
"<div>44M + hunter + recent
cognitive decline + microcytic anemia + wrist drop + ↑ d-ALA + ↑ RBC protoporphyrin;
Dx?&nbsp;</div>"	&nbsp;lead poisoning&nbsp;→&nbsp;inhibits ferrochelatase (causes&nbsp;↑&nbsp;RBC&nbsp;protoporphyrin)&nbsp;and&nbsp;d-ALA&nbsp;dehydratase&nbsp;(↑&nbsp;d-ALA);&nbsp;lead&nbsp;poisoning&nbsp;classically&nbsp;causes&nbsp;microcytic&nbsp;anemia&nbsp;(HY finding, especially in adults; vignette is not always going to say kid eating paint chips in family’s&nbsp;new&nbsp;house);&nbsp;and&nbsp;neuropathy&nbsp;(e.g.,&nbsp;wrist&nbsp;drop,&nbsp;foot&nbsp;drop).	
"<div>2M + cognitive decline after family
moves into new house; what does the smear show?</div><div><img src=""paste-1ce2204efb0b4287cdddc9e7a6ca670e0ecb41a5.jpg""><br></div>"	basophilic stippling (RNA precipitates) seen in lead poisoning.	
<div>Tx for lead toxicity?&nbsp;&nbsp;</div>	Tx&nbsp;not&nbsp;indicated&nbsp;unless&nbsp;serum&nbsp;levels&nbsp;&gt;44&nbsp;ng/dL&nbsp;(weirdly&nbsp;specific,&nbsp;but&nbsp;asked&nbsp;on&nbsp;2CK/3);&nbsp;give&nbsp;dimercaprol&nbsp;or&nbsp;EDTA&nbsp;in&nbsp;adults;&nbsp;succimer&nbsp;is&nbsp;often&nbsp;used&nbsp;for&nbsp;children.	
"<div>How does iron toxicity
present?</div>"	&nbsp;→ GI bleeding HY on USMLE; can also cause ↑ anion-gap metabolic acidosis (Iron and INH are the I in MUDPILES).	
<div>32M + red urine sometimes when waking in the morning;&nbsp;</div>	&nbsp;paroxysmal&nbsp;nocturnal&nbsp;hemoglobinuria&nbsp;(PNH).	
"<div>Mechanism
for PNH?&nbsp;</div>"	<div>→&nbsp;increased&nbsp;complement-mediated&nbsp;hemolysis&nbsp;caused&nbsp;by&nbsp;deficiency&nbsp;of&nbsp;CD55/59</div><div>&nbsp;</div><div>+&nbsp;deficiency&nbsp;of&nbsp;GPI&nbsp;anchor,&nbsp;which&nbsp;protect&nbsp;RBCs&nbsp;from&nbsp;complement-mediated&nbsp;breakdown.</div>	
Tx for PNH?&nbsp;	<div>eculizumab → monoclonal Ab against complement protein C5.</div>	
"Inheritance pattern
for hereditary spherocytosis?&nbsp;"	<div>autosomal dominant.</div>	
"Mechanism for
spherocytosis?&nbsp;"	"<div>&nbsp;deficiency of ankyrin,
spectrin, and/or band proteins → results in cytoskeletal disruption and smaller, more spherical RBCs → Qs
will sometimes merely have “cytoskeleton” as the answer.</div>"	
"Notable hematologic
parameter in spherocytosis?&nbsp;"	"<div>↑ MCHC (mean corpuscular hemoglobin concentration) → only time on USMLE you’ll see this variable
↑,
however <b>do not </b>choose this for
Qs asking you how to Dx spherocytosis. USMLE also wants you to know the
spherocytes in hereditary spherocytosis are normochromic, normocytic.</div>"	
"How to Dx
spherocytosis?&nbsp;"	"<div>osmotic fragility test; if
negative answer = eosin-5-maleimide test;
the latter is a newer flow cytometry test and is now showing up; osmotic
fragility test is the next best step if you’re
forced to pick between the two, but it can miss up to 25% of cases.</div>"	
Tx for hereditary spherocytosis?&nbsp;	"<div>splenectomy for those with moderate-severe anemia;
the spleen normally
clears out the spherocytes, thereby
enlarging and also causing chronic
anemia.</div>"	
"<div>12M + viral infection +
spherocytes seen on blood smear + Coombs test positive; Dx?</div>"	&nbsp;hemolytic anemia; wrong answer is hereditary spherocytosis; student immediately says, “Omg&nbsp;erratum!” It’s not. Chill the fuck out for two seconds. You can get spherocytes in drug-/infection-&nbsp;induced hemolytic anemia&nbsp;→&nbsp;autoantibodies cross-reacting with RBCs (type II hypersensitivity); the&nbsp;key is seeing that the&nbsp;<b>Coombs test is positive&nbsp;</b>in drug-/infection-induced spherocytosis because the&nbsp;patient has&nbsp;<b>antibodies&nbsp;</b>against RBCs; in contrast, hereditary spherocytosis has zero to do with&nbsp;antibodies; it’s a cytoskeletal problem; so of course the Coombs test is negative. Bottom line: yes, you&nbsp;can&nbsp;get&nbsp;spherocytes&nbsp;in&nbsp;things&nbsp;other&nbsp;than&nbsp;spherocytosis,&nbsp;namely&nbsp;drug-/infection-induced&nbsp;AIHA.	
<div>12M + viral infection + spherocytes seen on blood smear + Coombs test negative;&nbsp;</div>	hereditary&nbsp;spherocytosis.	
"<div>8M + chronic
anemia + father
had Hx of splenectomy + smear is shown; inheritance pattern?</div><div><img src=""paste-2db2aff203e74129c101581baa53c4b4ef1110b9.jpg""><br></div>"	"<div>autosomal dominant;
smear shows spherocytes. They love this detail about one of the parents having had splenectomy. I’ve
seen students incorrectly answer sickle cell for this Q; sickle cell <i>causes </i>autosplenectomy; it isn’t treated
with splenectomy.</div>"	
"<div>40M + recent
splenectomy; Q asks, what does the smear
show here?</div><div><img src=""paste-b91e88fa31e459be5888536422eb1105120bfc47.jpg""><br></div>"	"<div>Howell-Jolly bodies within
RBCs, which are nuclear remnants; normal finding post- splenectomy.</div>"	
"Neonate + pathologic jaundice
+ father had Hx of splenectomy for chronic anemia;
Dx"	<div>hereditary spherocytosis.</div>	
"11F + fatigue + Hb
6.5 + MCV 90 + reticulocyte count 9% (NR 0.5-1.5% of RBCs) + mother underwent splenectomy as a youth for “low blood”
and recently had a cholecystectomy; what’s the most likely mechanism
for this patient’s
condition?&nbsp;"	deficiency of erythrocyte spectrin	
"When is reticulocyte
count elevated?”&nbsp;"	"<div>normal
range is 0.5-1.5% of RBCs (according to NBME); if high, indicates hemorrhage, hemolytic anemia, or ↑ RBC turnover (i.e., hereditary spherocytosis; enzyme deficiencies; transfusion
reactions; thalassemia when accompanied by severe anemia); if normal
or low, then iron deficiency; aplastic anemia; thalassemia not accompanied by severe anemia.</div>"	
"18-month-old girl +
scleral icterus + pallor + hepatosplenomegaly + Hb 5.6 g/dL + bilirubin 3 mg/dL (normal ~1.0) + smear shows severe
hypochromia + nucleated erythrocytes + microcytosis + DNA analysis shows mutation in beta-globin
gene; what’s the Dx + what arrows do you expect for HbF, HbA2/HbA1 ratio, reticulocyte count"	"<div>↑ HbF, ↑ HbA2/HbA1 ratio, ↑ reticulocyte count; Dx is beta-thalassemia accompanied by severe anemia
+ RBC turnover.</div>"	
"<div>12M + treated
for infection + smear is shown; Dx?</div><div><img src=""paste-2324ee06e5855ed0fee7a5698acf12cb27b90155.jpg""><br></div>"	"<div>o&nbsp;&nbsp;
Answer = glucose-6-phosphate
dehydrogenase (G6PD) deficiency; left smear shows degmacytes (“bite cells”);
right smear shows Heinz bodies.</div><div><br></div>
<div>o&nbsp;&nbsp;
Bite cells are pathognomonic
for G6PD deficiency → spleen phagocytoses part, but not all, of RBC, resulting in characteristic
“bitten” appearance on smear. Heinz bodies are precipitated / oxidized
hemoglobin seen toward
the periphery of the RBC.</div>"	
"Mechanism for G6PD
deficiency?&nbsp;"	"G6PD
needed to make NADPH, which acts as a reducing agent (i.e., counteracts oxidation) to protect RBCs → if ↓ NADPH → ↑ oxidation of RBCs → RBCs prone to destruction in setting of stressors such as infection, drugs (i.e., dapsone),
or foods (i.e.,
fava beans)."	
"Inheritance pattern
of G6PD deficiency?&nbsp;"	"<div><span style=""color: rgb(0, 255, 0);""><b>X-linked recessive
(HY).</b></span></div>"	
"Neonatal girl +
pathologic jaundice + hemolytic disease due to enzyme deficiency; Dx?&nbsp;"	"pyruvate kinase
deficiency → second-most
common cause of hereditary hemolytic anemia due to an enzyme deficiency (after
G6PD deficiency); since G6PD is XR, you know in a girl it can’t be the answer"	
"<div>3F + failure
to thrive + blood smear and enterocyte biopsy are both shown; Dx?</div><div>
<br><table>
<tbody><tr>
<td><br><br></td>
</tr>
<tr>
<td></td>
<td><img src=""clip_image003-222c02f9b723656631b1902af27990338f1aca6c.png""></td>
</tr>
</tbody></table>
<br></div>"	"<div>o&nbsp;&nbsp;
abetalipoproteinemia; blood
smear shows acanthocytes (spur cells); biopsy of enterocytes shows large, clear fat droplets due to
malabsorption (apo-B48 needed for absorption from bowel).</div>"	
"82F + found in house
unconscious during summer day + body temperature is 105F + blood smear shows acanthocytes; Dx?&nbsp;"	"<div>liver failure; abetalipoproteinemia is the wrong answer; student
says wtf? → heat stroke = end-organ failure secondary to
hyperthermia; heat exhaustion = fatigue, but no end-organ failure
secondary to hyperthermia; acanthocytes (aka spur cells) can be seen in both liver failure and
abetalipoproteinemia; USMLE loves liver failure secondary to heat stroke as a cause of acanthocytosis.</div>"	
"2M + SCID + requires
blood transfusion for severe anemia; what kind of blood products are most appropriate?&nbsp;"	&nbsp;irradiated packed red blood cells	
<div>Do I need to know transfusion reactions?” → Annoying but yes. HY point are as follows:</div>	"<br><img src=""paste-6efb3a1b2d2021a00dc8d998a368d103219c9209.jpg"">"	
What are the important ADP2Y12 receptor blockers?&nbsp;	clopidogrel, prasugrel, ticagrelor, ticlopidine	
What are the important GpIIb/IIIa inhibitors?&nbsp;	"<div>abciximab,
eptifibatide, tirofiban.</div>"	
Drugs that are both anti-platelet agents and vasodilators?&nbsp;	<div>dipyridamole + cilostazol; both mixed cAMP and cGMP phosphodiesterase inhibitors.</div>	
Drugs that are direct-thrombin inhibitors?&nbsp;	<div>bivalirudin, lepirudin, dabigatran, argatroban.</div>	
"When arebivalirudin, lepirudin, dabigatran, argatroban.&nbsp;notably
the answer?&nbsp;"	<div>once again, for Tx of HIT.</div>	
MOA of fondaparinux?&nbsp;	"<div>indirect factor Xa inhibitor
(activates antithrombin, causing
factor Xa inhibition).</div>"	
MOA of apixaban?&nbsp;	direct factor Xa inhibitor.	
Important fibrinolytic?&nbsp;	"<div>&nbsp;tPA → used for ischemic stroke
within 3-4.5 hours. Streptokinase also fibrinolytic.</div>"	
